describe,introduce,invaluate,movie_name,serial_number,star
往事如烟，无处祭奠。,1984/意大利美国/犯罪剧情,213420人评价,美国往事,59,9.1
奔跑的孩子是天使。,1997/伊朗/剧情家庭儿童,179539人评价,小鞋子,60,9.2
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,1987/英国意大利中国大陆法国美国/剧情传记历史,248796人评价,末代皇帝,61,9.1
警察抓小偷，老鼠玩死猫。,1995/美国/剧情犯罪悬疑惊悚,517326人评价,七宗罪,62,8.8
以戏谑来戏谑戏谑。,2006/日本/剧情歌舞,372919人评价,被嫌弃的松子的一生,63,8.9
在时间之河里感受溺水之苦。,2008/美国/剧情爱情奇幻,482072人评价,本杰明·巴顿奇事,64,8.8
孪生蝙蝠侠大战克隆金刚狼。,2006/美国英国/剧情悬疑惊悚,422629人评价,致命魔术,65,8.8
美丽无罪。,2000/意大利美国/剧情战争情色,449219人评价,西西里的美丽传说,66,8.8
视觉革命。,1999/美国澳大利亚/动作科幻,355292人评价,黑客帝国,67,8.9
法式小清新。 ,2001/法国德国/喜剧爱情,575684人评价,天使爱美丽,68,8.7
你给我翻译翻译，神马叫做TMD的惊喜。,2010/中国大陆香港/剧情喜剧动作西部,786507人评价,让子弹飞,69,8.7
美利坚精神输出大片No1.,1998/美国/剧情历史战争,303572人评价,拯救大兵瑞恩,70,8.9
你以为你以为的就是你以为的。,2016/西班牙/剧情犯罪悬疑惊悚,477710人评价,看不见的客人,71,8.7
用音乐化解仇恨，让歌声串起美好。,1965/美国/剧情传记爱情歌舞,283242人评价,音乐之声,72,8.9
故事的高级讲法。,1994/美国/剧情喜剧犯罪,414840人评价,低俗小说,73,8.8
史诗大片的典范。,1995/美国/动作传记剧情历史战争,345228人评价,勇敢的心,74,8.8
经典之作，历久弥新。,1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)/中国大陆/动画奇幻,138538人评价,大闹天宫,75,9.3
浪漫忧郁的成人童话。,1990/美国/剧情奇幻爱情,585469人评价,剪刀手爱德华,76,8.7
安东尼·霍普金斯的顶级表演。,1991/美国/剧情犯罪惊悚,423473人评价,沉默的羔羊,77,8.8
童话世界的开端。,2001/美国英国/奇幻冒险,356358人评价,哈利·波特与魔法石,78,8.8
人的命运被自己瞬间的抉择改变。,2004/美国加拿大/剧情悬疑科幻惊悚,464872人评价,蝴蝶效应,79,8.7
爱情纠缠，男女一致。,1997/香港日本韩国/剧情爱情同性,306058人评价,春光乍泄,80,8.8
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,2008/日本/剧情,363418人评价,入殓师,81,8.8
人生中应该拥有这样的一段豁然开朗。,1997/美国/剧情,337844人评价,心灵捕手,82,8.8
骗子大师和执著警探的你追我跑故事。 ,2002/美国加拿大/传记犯罪剧情,306060人评价,猫鼠游戏,83,8.8
小清新的故事里注入了大历史的情怀。,2014/美国德国英国/剧情喜剧冒险,406186人评价,布达佩斯大饭店,84,8.8
昔日翩翩少年，今日大腹便便。,2010/美国/剧情悬疑惊悚,446209人评价,禁闭岛,85,8.7
你是我最好的朋友，你是我唯一的朋友 。,2009/澳大利亚/剧情动画,263595人评价,玛丽和马克思,86,8.9
一场华丽的意淫。,1994/中国大陆香港/剧情,330721人评价,阳光灿烂的日子,87,8.8
人与自然的战争史诗。,1997/日本/动画奇幻冒险,282813人评价,幽灵公主,88,8.8
深入内心的恐怖，出人意料的结局。,1999/美国/剧情悬疑惊悚,282669人评价,第六感,89,8.8
人言可畏。,2012/丹麦瑞典/剧情,167104人评价,狩猎,90,9.1
寂寞没有期限。,1994/香港/剧情爱情,403112人评价,重庆森林,91,8.7
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,2008/英国美国/剧情战争,196802人评价,穿条纹睡衣的男孩,92,8.9
最不可能的那个人永远是最可能的。,2003/美国/剧情悬疑惊悚,388894人评价,致命ID,93,8.7
每个人心中都有一座断背山。,2005/美国加拿大/剧情爱情同性家庭,387007人评价,断背山,94,8.7
约翰尼·德普的独角戏。,2003/美国/动作冒险奇幻,430390人评价,加勒比海盗,95,8.6
绝对意义上的美轮美奂。,2009/美国英国/动作战争科幻冒险,644590人评价,阿凡达,96,8.6
